                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.42931,                0.30501,                 1.3698,                0.74778,                0.59696,                0.59985,                0.50971,                0.54091,                0.79245,                 1.7755,              0.0010247,              0.0010247,              0.0010247
                    104,                0.39655,                0.28313,                 1.2929,                0.74778,                0.59696,                0.59985,                0.50971,                0.54091,                0.79245,                 1.7755,              0.0010239,              0.0010239,              0.0010239
                    105,                0.38196,                0.29014,                 1.2875,                0.76923,                0.58425,                0.59451,                0.50663,                0.54505,                0.80555,                  1.812,               0.001023,               0.001023,               0.001023
                    106,                0.40194,                0.29238,                 1.2951,                0.76923,                0.58425,                0.59451,                0.50663,                0.54505,                0.80555,                  1.812,              0.0010222,              0.0010222,              0.0010222
                    107,                0.38238,                0.27614,                 1.2775,                 0.7594,                0.59682,                0.59402,                0.50366,                0.55141,                0.78307,                 1.8196,              0.0010213,              0.0010213,              0.0010213
                    108,                0.38922,                0.28313,                 1.3197,                0.74994,                0.59573,                0.59374,                0.50307,                0.55827,                 0.7866,                 1.7663,              0.0010205,              0.0010205,              0.0010205
                    109,                0.41695,                0.29171,                  1.306,                0.74994,                0.59573,                0.59374,                0.50307,                0.55827,                 0.7866,                 1.7663,              0.0010196,              0.0010196,              0.0010196
                    110,                0.39707,                0.28636,                 1.2874,                0.52941,                0.61936,                   0.59,                0.49997,                0.55673,                0.81616,                  1.781,              0.0010188,              0.0010188,              0.0010188
                    111,                 0.4032,                0.29033,                 1.2937,                0.73204,                0.61196,                0.59463,                0.50541,                0.54162,                0.81191,                 1.7835,              0.0010179,              0.0010179,              0.0010179
                    112,                0.37228,                0.27771,                 1.3469,                0.73204,                0.61196,                0.59463,                0.50541,                0.54162,                0.81191,                 1.7835,              0.0010171,              0.0010171,              0.0010171
                    113,                0.40618,                 0.2954,                 1.2864,                0.71801,                0.61377,                0.59711,                0.50879,                0.53898,                0.80274,                 1.8189,              0.0010162,              0.0010162,              0.0010162
                    114,                0.38047,                0.27834,                 1.3098,                0.71801,                0.61377,                0.59711,                0.50879,                0.53898,                0.80274,                 1.8189,              0.0010154,              0.0010154,              0.0010154
                    115,                0.38728,                 0.2804,                 1.2968,                0.73588,                0.60025,                0.59819,                0.51077,                 0.5459,                0.79389,                 1.7726,              0.0010145,              0.0010145,              0.0010145
                    116,                0.37154,                0.28891,                 1.2226,                0.53082,                 0.5963,                0.59355,                0.50671,                0.54924,                0.83278,                 1.8015,              0.0010137,              0.0010137,              0.0010137
                    117,                0.35927,                0.27502,                 1.2728,                0.53082,                 0.5963,                0.59355,                0.50671,                0.54924,                0.83278,                 1.8015,              0.0010129,              0.0010129,              0.0010129
                    118,                 0.3611,                 0.2689,                 1.2719,                0.74713,                0.59232,                0.59778,                0.51017,                0.54013,                0.79658,                 1.8209,               0.001012,               0.001012,               0.001012
                    119,                0.35644,                0.26697,                 1.2638,                0.75495,                0.59247,                0.59755,                0.50782,                0.54823,                0.77785,                 1.8569,              0.0010112,              0.0010112,              0.0010112
